year, opioid-only, opioid-and-stim, stim-only
2008,         151,              46,        37 
2009,         147,              45,        34 
2010,         148,              36,        22 
2011,         141,              38,        31 
2012,         145,              45,        40 
2013,         156,              59,        49 
2014,         134,              95,        41 
2015,         138,              78,        54 
2016,         142,              83,        69 
2017,         143,              111,       71 
2018,         146,              130,       84 
2019,         128,              169,       89 
2020,         169,              200,      117


























